model,label,precision,recall,f1_score,roc_auc,support
TF-IDF + Logistic Regression,toxic,0.6989133315663928,0.8657255416940249,0.7734271887373515,0.9791684193822584,
TF-IDF + Logistic Regression,severe_toxic,0.3281045751633987,0.8229508196721311,0.4691588785046729,0.9866531135094206,
TF-IDF + Logistic Regression,obscene,0.7382146439317954,0.8856799037304453,0.8052516411378556,0.9909467263303698,
TF-IDF + Logistic Regression,threat,0.3484848484848485,0.7040816326530612,0.46621621621621623,0.9910465333318794,
TF-IDF + Logistic Regression,insult,0.6143878462913316,0.8724619289340102,0.7210277923439958,0.9840627056394721,
TF-IDF + Logistic Regression,identity_hate,0.2971246006389776,0.7181467181467182,0.42033898305084744,0.9830659073456647,
TF-IDF + Logistic Regression,macro_average,0.504204974346124,0.8115077574717318,0.6092367833318233,0.9858239009231774,31915
TF-IDF + Logistic Regression,micro_average,,,0.7243047158403869,0.9886297570956729,31915
